Codigo,Apelido,Razao Social,Endereco,Bairro,Cidade,ES,CEP,DDD/TEL/FAX,CNPJ,INSC.Estadual,Contato,Email,order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11,order_12,order_13,order_14,order_15,order_16,order_17,order_18,order_19,order_20,order_21,order_22,order_23,order_24,order_25,order_26,order_27,order_28,order_29,order_30,order_31,order_32,order_33,order_34,order_35,order_36,order_37,order_38,order_39,order_40,order_41,order_42,order_43,order_44,order_45,order_46,order_47,order_48,order_49,order_50,last_order
31,ADORO,CONFECCOES ADORO LTDA,"RUA PROFESSOR CESARE LOMBROSO, 194196",BOM RETIRO,SAO PAULO,SP,01122-020,11 / 3331-1420 / 3225-0178,48.229.801/0001-50,109.806.027.118,,adorofashion@hotmail.com,"['0ADR02', 'Corte', '02/10/2017', '4.50', '21', 'Singular(F)']","['000ADR', 'Corte', '02/10/2017', '4.50', '31', 'Intercommerce(F)']","['B53350', '066110', '26/09/2017', '4202.70', '992', 'Singular(F)']","['0ADR01', 'Corte', '08/09/2017', '3.00', '11', 'Singular(F)']","['B66415', '065967', '05/09/2017', '1203.20', '292', 'Singular(F)']","['B66403', '001372', '23/08/2017', '3503.40', '732', 'Intercommerce(F)']","['B53347', '065572', '13/07/2017', '2115.00', '442', 'Singular(F)']","['MAU050', '065351', '12/06/2017', '4014.00', '762', 'Singular(F)']","['B69146', '065317', '08/06/2017', '554.50', '81', 'Singular(F)']","['B69147', 'Corte', '07/06/2017', '2.00', '11', 'Singular(F)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-10-02
44,AJON,AJON MODAS LTDA,"RUA ORIENTE, 741743",BRAS,SAO PAULO,SP,03016-001,11 / 2693 1343 / 2693-9784,66.633.801/0001-00,113.211.600.110,,,"['0Q1310', '076162', '07/02/2019', '193.70', '91', 'Singular(F)']","['B35588', '063783', '22/03/2017', '512.10', '242', 'Singular(F)']","['B51941', '062360', '11/01/2017', '21.00', '11', 'Singular(F)']","['51940A', '040945', '11/01/2017', '24.80', '11', 'Singular']","['B51940', '031845', '11/01/2017', '250.00', '112', 'Intercommerce']","['D18663', '030005', '12/03/2015', '524.60', '252', 'Singular']","['C18663', '030006', '12/03/2015', '979.10', '452', 'Singular']","['B18663', '030007', '12/03/2015', '945.10', '452', 'Singular']","['D18665', '030002', '12/03/2015', '407.90', '202', 'Singular']","['C18665', '030003', '12/03/2015', '1035.80', '482', 'Singular']","['B18665', '030004', '12/03/2015', '961.10', '442', 'Singular']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-07
50,ALBERTO KIM,ALBERTO KIM TECIDOS EPP,"RUA ALMIRANTE BARROSO, 204",BRAS,SAO PAULO,SP,03025-000,11 / 2694-3433 / 2694 8277,04.886.647/0001-13,116.310.079.110,,contato@albertokimtecidos.com.br,"['0ALK03', '090663', '23/10/2020', '4790.00', '1003', 'Singular(F)']","['0ALK04', '044983', '23/10/2020', '1975.50', '342', 'Intercommerce']","['0ALK02', '090662', '23/10/2020', '2724.40', '522', 'Singular(F)']","['0ALK01', '090454', '13/10/2020', '4046.90', '782', 'Singular(F)']","['0ALK03', '044877', '13/10/2020', '880.48', '192', 'Intercommerce']","['0ALK02', '003848', '13/10/2020', '3426.80', '602', 'FIBRA FANTASIA']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-10-23
53,ALESSI MODAS,ALESSI MODAS LTDA,"RUA JOSE PAULINO, 671LJ. 41 E 43",BOM RETIRO,SÃO PAULO,SP,01120-001,011 / 3337-1974 / ,68.468.925/0001-03,113.500.912.119,,alessih@hotmail.com,"['015172', '087674', '04/03/2020', '352.00', '71', 'Singular(F)']","['0R5297', '086753', '06/02/2020', '198.00', '31', 'Singular(F)']","['0R5296', '086037', '22/01/2020', '305.00', '51', 'Singular(F)']","['0R5294', '085965', '21/01/2020', '618.00', '102', 'Singular(F)']","['0R5695', '085612', '14/01/2020', '270.00', '51', 'Singular(F)']","['0R3264', '003031', '19/09/2019', '251.80', '41', 'FIBRA FANTASIA']","['008047', '081307', '15/08/2019', '262.00', '51', 'Singular(F)']","['0Q9434', '081128', '12/08/2019', '303.00', '61', 'Singular(F)']","['0R1592', '079852', '05/07/2019', '274.50', '51', 'Singular(F)']","['0Q9431', '079329', '26/06/2019', '215.00', '41', 'Singular(F)']","['0Q9437', '002673', '25/06/2019', '323.00', '61', 'FIO FANTASIA']","['0Q9430', '079215', '25/06/2019', '266.00', '51', 'Singular(F)']","['003387', '076953', '26/02/2019', '260.00', '41', 'Singular(F)']","['AM3390', '076918', '25/02/2019', '378.70', '91', 'Singular(F)']","['01914S', '075874', '31/01/2019', '207.00', '41', 'Singular(F)']","['0Q2578', '075268', '17/01/2019', '272.00', '51', 'Singular(F)']","['ASL763', '074868', '08/01/2019', '253.50', '51', 'Singular(F)']","['0Q2579', '074739', '14/12/2018', '181.00', '31', 'Singular(F)']","['ESSI02', '074738', '13/12/2018', '538.50', '112', 'Singular(F)']","['0Q2576', '002330', '14/11/2018', '209.00', '41', 'FIBRA FANTASIA']","['0Q2053', '002315', '14/11/2018', '183.00', '31', 'FIBRA FANTASIA']","['0Q0862', '073131', '22/10/2018', '292.00', '61', 'Singular(F)']","['0Q0701', '004796', '22/10/2018', '304.50', '71', 'Intercommerce(F)']","['0Q0702', '002269', '17/10/2018', '323.50', '71', 'FIBRA FANTASIA']","['0P3860', '001697', '07/08/2018', '848.50', '172', 'FIO FANTASIA']","['B75543', '071003', '31/07/2018', '256.00', '51', 'Singular(F)']","['0P3871', '001948', '24/07/2018', '255.00', '41', 'FIBRA FANTASIA']","['0P3870', '001558', '20/07/2018', '264.10', '51', 'FIO FANTASIA']","['0P3859', '001925', '18/07/2018', '207.00', '41', 'FIBRA FANTASIA']","['0P3863', '001908', '18/07/2018', '294.50', '61', 'FIBRA FANTASIA']","['0P3873', '001513', '17/07/2018', '241.00', '51', 'FIO FANTASIA']","['0P3867', '001770', '13/06/2018', '261.00', '41', 'FIBRA FANTASIA']","['0P3977', '001719', '27/04/2018', '450.40', '91', 'FIBRA FANTASIA']","['B68159', '068618', '09/04/2018', '2.00', '11', 'Singular(F)']","['0N9247', '067636', '22/02/2018', '441.00', '81', 'Singular(F)']","['65249B', '067564', '19/02/2018', '193.50', '41', 'Singular(F)']","['B65241', '067459', '14/02/2018', '209.00', '41', 'Singular(F)']","['0N7862', '001145', '16/01/2018', '531.70', '102', 'FIO FANTASIA']","['0N9242', '066989', '11/01/2018', '281.00', '51', 'Singular(F)']","['0N9243', '001504', '13/12/2017', '274.00', '51', 'FIBRA FANTASIA']","['0N6322', '002634', '29/11/2017', '520.00', '102', 'Intercommerce(F)']","['0N0658', '001036', '06/10/2017', '226.00', '41', 'FIO FANTASIA']","['0N5135', '001863', '04/10/2017', '70.50', '31', 'Intercommerce(F)']","['0N5137', '001746', '22/09/2017', '251.00', '51', 'Intercommerce(F)']","['0N4837', '001297', '15/08/2017', '206.60', '41', 'FIBRA FANTASIA']","['B66451', 'Corte', '08/08/2017', '1.50', '11', 'Singular']","['B58847', '000995', '31/07/2017', '195.50', '41', 'Intercommerce(F)']","['B54885', '000909', '24/04/2017', '228.50', '61', 'FIBRA FANTASIA']",,,2020-03-04
71,ALPA GUIA COMÉRCIO,ALPA GUIA CONFECCOES E COMERCIO LTDA ME,"RUA MINISTRO GASTAO MESQUITA,  395",PERDIZES,SÃO PAULO,SP,05012-010,11 / 3676-0576 / 3873 7549,68.377.993/0001-59,113.563.199.110,,mribola@uol.com.br,"['011565', '084652', '22/11/2019', '232.70', '41', 'Singular(F)']","['011277', '084475', '14/11/2019', '330.00', '61', 'Singular(F)']","['010692', '083943', '05/11/2019', '341.00', '61', 'Singular(F)']","['B96489', '069117', '04/11/2019', '108.00', '21', 'Singular']","['010670', '069064', '01/11/2019', '2.00', '11', 'Singular']","['010672', '069061', '01/11/2019', '258.30', '51', 'Singular']","['010691', '083829', '01/11/2019', '152.50', '31', 'Singular(F)']","['0Q9722', '043530', '02/09/2019', '160.00', '31', 'Intercommerce']","['0Q9736', '067439', '02/09/2019', '78.50', '41', 'Singular']","['0Q9723', '043568', '02/09/2019', '157.00', '31', 'Intercommerce']","['0Q9721', '043562', '02/09/2019', '104.00', '21', 'Intercommerce']","['0Q9728', '067392', '30/08/2019', '106.00', '21', 'Singular']","['0Q9733', '002985', '21/08/2019', '210.50', '41', 'FIO FANTASIA']","['0Q9730', '002984', '21/08/2019', '210.50', '41', 'FIO FANTASIA']","['0Q9720', '067191', '19/08/2019', '110.00', '21', 'Singular']","['0Q9731', '066932', '12/08/2019', '100.00', '21', 'Singular']","['0Q9738', '066933', '12/08/2019', '221.70', '41', 'Singular']","['0Q9735', '043467', '09/08/2019', '263.50', '51', 'Intercommerce']","['0Q9725', '066873', '09/08/2019', '225.00', '41', 'Singular']","['0Q9737', '066471', '31/07/2019', '131.50', '31', 'Singular']","['0Q9732', '066277', '23/07/2019', '135.00', '21', 'Singular']","['0Q9729', '066096', '18/07/2019', '154.00', '21', 'Singular']","['0Q8953', '066073', '18/07/2019', '149.00', '31', 'Singular']","['0Q8954', '065945', '11/07/2019', '113.00', '21', 'Singular']","['0Q9726', '065523', '28/06/2019', '103.50', '21', 'Singular']","['0Q9724', '065551', '28/06/2019', '94.00', '21', 'Singular']","['0Q9727', '065573', '28/06/2019', '62.00', '11', 'Singular']","['0Q8955', '002711', '26/06/2019', '217.00', '41', 'FIO FANTASIA']","['0Q9734', '065261', '21/06/2019', '220.00', '41', 'Singular']","['0Q9739', '042731', '17/06/2019', '382.20', '81', 'Intercommerce']","['005859', '002470', '10/05/2019', '199.00', '41', 'FIO FANTASIA']","['005069', '002363', '12/04/2019', '117.00', '21', 'FIO FANTASIA']","['0Q2689', '060919', '11/01/2019', '117.70', '21', 'Singular']","['Q2686A', '041311', '11/12/2018', '96.00', '21', 'Intercommerce']","['0Q2676', '060445', '07/12/2018', '109.00', '21', 'Singular']","['0Q2681', '060446', '07/12/2018', '98.00', '21', 'Singular']","['0Q2688', '060044', '03/12/2018', '99.50', '21', 'Singular']","['0P9305', '059687', '22/11/2018', '544.00', '222', 'Singular']","['0Q2668', '059648', '22/11/2018', '234.60', '91', 'Singular']","['0Q2663', '059169', '09/11/2018', '103.00', '21', 'Singular']","['0Q2665', '059175', '09/11/2018', '163.00', '31', 'Singular']","['0Q2670', '073347', '31/10/2018', '200.00', '41', 'Singular(F)']","['0Q2690', '058935', '31/10/2018', '162.20', '31', 'Singular']","['B75516', '058640', '22/10/2018', '657.50', '31', 'Singular']","['75509A', '073086', '18/10/2018', '155.00', '31', 'Singular(F)']","['B75507', '058210', '16/10/2018', '104.50', '21', 'Singular']","['0Q1461', '058253', '16/10/2018', '105.00', '21', 'Singular']","['0Q1456', '040959', '15/10/2018', '205.50', '41', 'Intercommerce']",,,2019-11-22
72,ALPELO,ALPELO CONFECCOES E COMERCIO DE ROUPAS LTDA,"RUA MILLER, 339",BRAS,SÃO PAULO,SP,03011-011,011 / 2797-0500 / ,52.911.906/0001-61,110.927.809.119,,fornecedores@alpelomoda.com.br,"['010609', '083840', '01/11/2019', '699.00', '142', 'Singular(F)']","['A10017', '083283', '14/10/2019', '405.00', '81', 'Singular(F)']","['01490A', '002386', '24/01/2019', '1071.00', '202', 'FIBRA FANTASIA']","['AL1491', '075565', '23/01/2019', '676.50', '142', 'Singular(F)']","['0Q0381', '073024', '17/10/2018', '684.50', '142', 'Singular(F)']","['0Q0380', '072826', '10/10/2018', '789.50', '142', 'Singular(F)']","['0P9590', '071969', '05/09/2018', '309.00', '61', 'Singular(F)']","['0P9591', '071980', '05/09/2018', '582.50', '112', 'Singular(F)']","['AL3472', '071829', '30/08/2018', '289.20', '132', 'Singular(F)']","['AL2025', 'Corte', '28/08/2018', '2.00', '11', 'Singular']","['AL2708', 'Corte', '27/08/2018', '2.00', '11', 'Singular(F)']","['0P9589', '071510', '20/08/2018', '594.00', '122', 'Singular(F)']","['0AL684', '071227', '08/08/2018', '708.50', '152', 'Singular(F)']","['0ALP01', '071119', '03/08/2018', '413.00', '81', 'Singular(F)']","['0P5590', '070172', '28/06/2018', '826.40', '132', 'Singular(F)']","['0P5592', '069792', '11/06/2018', '791.20', '152', 'Singular(F)']","['0P5591', '069655', '04/06/2018', '793.50', '132', 'Singular(F)']","['ALP003', 'Corte', '30/04/2018', '3.00', '11', 'Singular']","['0P0901', '068477', '03/04/2018', '792.00', '142', 'Singular(F)']","['0P0897', '068407', '02/04/2018', '1381.10', '282', 'Singular(F)']","['0N0893', '067972', '12/03/2018', '894.20', '182', 'Singular(F)']","['0P0896', '067970', '12/03/2018', '971.10', '192', 'Singular(F)']","['0AL917', '067929', '08/03/2018', '386.00', '81', 'Singular(F)']","['ALP005', '003793', '01/03/2018', '61.00', '11', 'Intercommerce(F)']","['0P0892', '003781', '28/02/2018', '2019.40', '392', 'Intercommerce(F)']","['L23002', '067722', '27/02/2018', '463.50', '102', 'Singular(F)']","['B65865', '067405', '07/02/2018', '462.00', '102', 'Singular(F)']","['B65863', 'Corte', '02/02/2018', '2.00', '11', 'Singular']","['LP7912', '066931', '20/12/2017', '590.50', '122', 'Singular(F)']","['ALP003', '002923', '19/12/2017', '3570.90', '762', 'Intercommerce(F)']","['ALP002', '066911', '19/12/2017', '4038.80', '792', 'Singular(F)']","['0ALP10', '066497', '31/10/2017', '450.00', '61', 'Singular(F)']","['0ALP11', '002252', '31/10/2017', '529.00', '81', 'Intercommerce(F)']","['0N7039', '066390', '24/10/2017', '134.10', '152', 'Singular(F)']","['ALP002', '002020', '16/10/2017', '1014.30', '202', 'Intercommerce(F)']","['000Z57', '001851', '04/10/2017', '50.80', '71', 'Intercommerce(F)']","['0ALP02', '001827', '02/10/2017', '2.00', '11', 'Intercommerce(F)']","['0M9622', '001594', '12/09/2017', '557.40', '91', 'Intercommerce(F)']","['0ALP01', '001444', '30/08/2017', '868.00', '172', 'Intercommerce(F)']","['B73726', 'Corte', '30/08/2017', '2.00', '11', 'Intercommerce(F)']","['0N3683', '065867', '29/08/2017', '705.40', '112', 'Singular(F)']","['0LPL01', '001393', '24/08/2017', '502.00', '132', 'Intercommerce(F)']","['0N3672', '065782', '15/08/2017', '1743.70', '352', 'Singular(F)']","['0N3693', '001203', '14/08/2017', '1504.90', '262', 'Intercommerce(F)']","['0N3694', '001165', '10/08/2017', '546.00', '91', 'Intercommerce(F)']","['0M9616', '000960', '28/07/2017', '1890.40', '432', 'Intercommerce(F)']","['0M9624', '000907', '26/07/2017', '607.70', '122', 'FIO FANTASIA']","['0N3698', '000761', '17/07/2017', '802.20', '152', 'Intercommerce(F)']",,,2019-11-01
74,ALTA MUN BIANCA,ALTA MUN BIANCA CONFECCOES LTDA,"RUA AIMORES, 287",BOM RETIRO,SAO PAULO,SP,01122-010,011 / 3333-3666 / ,04.049.767/0001-66,115.982.756.112,,sedu287@hotmail.com,"['L15791', '029383', '11/02/2015', '10.40', '21', 'Singular']","['K4523A', '029339', '10/02/2015', '33.50', '81', 'Singular']","['0K6779', '029193', '03/02/2015', '50.30', '51', 'Singular']","['0K6783', '028693', '14/01/2015', '1226.00', '242', 'Singular']","['0K5737', '022656', '14/01/2015', '1041.00', '252', 'Intercommerce']","['0K5732', '028682', '13/01/2015', '382.00', '81', 'Singular']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-02-11
88,AMORE,AMORE IND E COM DE ROUPAS LTDA,"RUA AIMORES, 172",BOM RETIRO,SAO PAULO,SP,01122-010,011 / 3361.2744 / 3337-1461,51.719.961/0001-91,113.770.947.118,YONG,marcelo64p@yahoo.com.br,"['BB8941', '050408', '05/02/2015', '556.20', '81', 'Singular(F)']","['B16705', '050363', '03/02/2015', '329.50', '51', 'Singular(F)']","['B16706', '050365', '03/02/2015', '326.10', '61', 'Singular(F)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-02-05
94,ANA RODRIGUES,ANA RODRIGUES INDUSTRIA E COMERCIO LTDA,"RUA HERCULANO DE FREITAS, 1567",GUTIERREZ,BELO HORIZONTE,MG,30430-120,31 / 3376-1170 / 3375-3406,03.467.456/0001-54,062054681.00-70,,nfe@meridionalcargas.com.br,"['029524', '032988', '29/07/2015', '2.00', '11', 'Singular']","['029519', '054105', '27/07/2015', '2.00', '11', 'Singular(F)']","['016003', '050840', '05/03/2015', '24.00', '11', 'Singular(F)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-07-29
99,ANDRADE TECIDOS,COMERCIO E TECIDOS ANDRADE LTDA,"AV. VINTE E UM DEABRIL,  281",CENTRO,DIVINOPOLIS,MG,35500-010,37 / 3222-0900 / 3216-0540,71.472.716/0001-30,223.870.142.00-80,,nfe@tecidosandrade.com.br,"['0L5120', '036862', '11/05/2016', '1252.90', '252', 'Singular']","['0L5107', '027693', '26/02/2016', '920.40', '182', 'Intercommerce']","['0L5109', '027618', '23/02/2016', '1006.50', '162', 'Intercommerce']","['13487A', '056207', '26/11/2015', '2539.50', '532', 'Singular(F)']","['A13486', '026062', '12/11/2015', '308.50', '51', 'Intercommerce']","['A13489', '034920', '11/11/2015', '985.00', '152', 'Singular']","['0L2962', '034132', '09/09/2015', '1519.10', '312', 'Singular']","['0L0374', '033844', '03/09/2015', '1672.90', '352', 'Singular']","['0L2959', '033784', '01/09/2015', '2322.00', '472', 'Singular']","['0L1326', '025267', '12/08/2015', '497.30', '122', 'Intercommerce']","['0L2960', '025268', '12/08/2015', '1400.20', '272', 'Intercommerce']","['0L1318', '025227', '12/08/2015', '2192.70', '472', 'Intercommerce']","['0L0373', '033363', '05/08/2015', '878.00', '192', 'Singular']","['0L0371', '033312', '05/08/2015', '590.00', '122', 'Singular']","['AND01A', '054199', '03/08/2015', '1125.00', '242', 'Singular(F)']","['AND001', '054166', '31/07/2015', '1125.00', '242', 'Singular(F)']","['0L1324', '033093', '30/07/2015', '1506.00', '302', 'Singular']","['0L0384', '033072', '29/07/2015', '2357.20', '522', 'Singular']","['B23353', '054098', '27/07/2015', '755.00', '152', 'Singular(F)']","['0L0382', '032932', '24/07/2015', '2543.00', '532', 'Singular']","['0K8609', '053863', '14/07/2015', '907.10', '192', 'Singular(F)']","['0L0386', '053864', '14/07/2015', '923.00', '172', 'Singular(F)']","['0L0381', '053861', '14/07/2015', '1233.00', '262', 'Singular(F)']","['0L0378', '053862', '14/07/2015', '920.00', '182', 'Singular(F)']","['0K8614', '032467', '30/06/2015', '1268.60', '272', 'Singular']","['0K8613', '053424', '29/06/2015', '882.40', '192', 'Singular(F)']","['0K9499', '032131', '10/06/2015', '1335.50', '292', 'Singular']","['0K7501', '031952', '03/06/2015', '259.00', '51', 'Singular']","['0K8611', '031581', '20/05/2015', '472.70', '122', 'Singular']","['0K7836', '031502', '18/05/2015', '589.70', '132', 'Singular']","['0K7855', '031312', '08/05/2015', '1846.80', '322', 'Singular']","['0K8334', '031311', '08/05/2015', '1193.00', '232', 'Singular']","['0K8616', '024647', '06/05/2015', '190.00', '31', 'Intercommerce']","['B27632', '024643', '06/05/2015', '86.00', '21', 'Intercommerce']","['0K7499', '024596', '06/05/2015', '394.00', '91', 'Intercommerce']","['0K7835', '024595', '06/05/2015', '608.40', '102', 'Intercommerce']","['0K8337', '024594', '06/05/2015', '404.00', '81', 'Intercommerce']","['0K8605', '024593', '06/05/2015', '202.60', '41', 'Intercommerce']","['B20330', '051832', '16/04/2015', '4201.40', '742', 'Singular(F)']","['B26915', '051801', '15/04/2015', '4829.40', '912', 'Singular(F)']","['B26916', '024274', '14/04/2015', '809.80', '132', 'Intercommerce']","['26917A', '024276', '14/04/2015', '2356.00', '362', 'Intercommerce']","['0K7852', '030559', '06/04/2015', '527.00', '102', 'Singular']","['0K7838', '030526', '06/04/2015', '517.00', '91', 'Singular']","['0K8617', '030481', '02/04/2015', '533.80', '122', 'Singular']","['0K7504', '024132', '02/04/2015', '812.20', '162', 'Intercommerce']","['0K7834', '024133', '02/04/2015', '287.80', '61', 'Intercommerce']","['0K9495', '024073', '01/04/2015', '1171.90', '272', 'Intercommerce']",,,2016-05-11
